,Age,AnnualIncome,ChronicDiseases,EmploymentType,EverTravelledAbroad,FamilyMembers,FrequentFlyer,GraduateOrNot,InsurancePolicy
0,31,400000,Yes,Government,No,6,No,Yes,0
1,31,1250000,No,Private,No,7,No,Yes,0
2,34,500000,Yes,Private,No,4,No,Yes,1
3,28,700000,Yes,Private,No,3,No,Yes,0
4,28,700000,Yes,Private,No,8,Yes,Yes,0
5,25,1150000,No,Private,No,4,No,No,0
6,31,1300000,No,Government,No,4,No,Yes,0
7,31,1350000,No,Private,Yes,3,Yes,Yes,1
8,28,1450000,Yes,Private,Yes,6,Yes,Yes,1
9,33,800000,No,Government,No,3,Yes,Yes,0
10,31,400000,Yes,Government,No,9,No,Yes,0
11,26,1400000,No,Private,Yes,5,Yes,Yes,1
12,32,850000,No,Government,No,6,No,Yes,1
13,31,1500000,No,Government,Yes,6,Yes,Yes,1
14,31,400000,No,Government,No,3,No,Yes,0
15,34,700000,No,Private,No,7,No,Yes,0
16,28,1150000,Yes,Private,No,4,No,Yes,0
17,28,800000,No,Private,No,7,No,Yes,1
18,29,1050000,Yes,Private,No,5,No,Yes,1
19,34,1500000,No,Private,Yes,2,Yes,Yes,1
20,28,1150000,No,Private,No,6,Yes,Yes,0
21,29,350000,No,Private,No,3,No,Yes,1
22,31,1100000,No,Private,No,4,No,Yes,0
23,28,600000,No,Government,No,9,No,Yes,1
24,31,1500000,No,Government,Yes,7,Yes,Yes,0
25,35,800000,No,Private,Yes,4,No,No,0
26,34,1300000,No,Private,No,6,Yes,No,1
27,28,1250000,No,Private,No,2,Yes,Yes,0
28,26,600000,No,Private,No,4,Yes,Yes,0
29,31,900000,No,Private,No,3,No,Yes,0
30,30,550000,No,Private,Yes,6,Yes,No,0
31,31,300000,No,Government,No,4,No,No,0
32,25,750000,No,Government,No,4,No,Yes,1
33,32,850000,No,Government,No,3,No,Yes,0
34,28,800000,No,Private,No,9,No,Yes,1
35,33,1400000,No,Private,Yes,4,Yes,Yes,0
36,31,300000,Yes,Government,No,9,No,No,0
37,34,700000,No,Private,No,4,No,Yes,0
38,34,1100000,No,Government,No,2,No,Yes,0
39,33,1500000,Yes,Private,Yes,5,Yes,Yes,1
40,25,1400000,Yes,Private,Yes,3,Yes,Yes,1
41,33,550000,No,Private,No,5,No,Yes,0
42,26,1500000,Yes,Private,Yes,2,Yes,Yes,1
43,28,1200000,No,Private,No,4,Yes,Yes,1
44,25,1400000,No,Private,Yes,7,No,Yes,1
45,34,1400000,Yes,Private,Yes,5,No,No,1
46,25,1400000,No,Private,Yes,4,No,Yes,1
47,35,1100000,No,Government,No,5,No,Yes,0
48,28,600000,No,Private,No,3,No,Yes,0
49,31,1350000,No,Private,Yes,3,No,Yes,1
50,31,1250000,Yes,Private,No,3,No,Yes,0
51,29,1050000,No,Private,No,3,No,Yes,0
52,31,1250000,No,Private,Yes,4,No,Yes,0
53,28,300000,No,Government,No,2,No,Yes,0
54,29,1200000,No,Private,No,7,No,Yes,0
55,26,750000,No,Private,No,5,No,Yes,0
56,28,550000,No,Private,No,3,No,Yes,1
57,34,1000000,No,Private,No,6,No,Yes,1
58,33,1400000,No,Private,Yes,6,Yes,Yes,1
59,33,1400000,No,Private,Yes,9,Yes,Yes,1
60,31,1250000,No,Private,Yes,4,Yes,Yes,0
61,32,800000,No,Government,No,3,Yes,Yes,1
62,28,800000,No,Private,No,4,Yes,Yes,0
63,27,500000,No,Government,No,2,No,Yes,0
64,30,1450000,No,Private,Yes,9,Yes,No,1
65,26,600000,Yes,Private,No,5,No,Yes,0
66,30,800000,No,Private,No,6,Yes,No,0
67,34,1500000,No,Private,Yes,3,Yes,Yes,1
68,29,350000,No,Private,No,4,No,Yes,0
69,31,300000,No,Government,No,4,No,No,0
70,34,1300000,No,Government,No,4,No,Yes,0
71,28,750000,No,Private,No,6,Yes,Yes,0
72,28,800000,Yes,Private,No,6,Yes,Yes,0
73,28,750000,No,Private,No,7,Yes,Yes,0
74,28,700000,Yes,Private,No,4,No,Yes,0
75,34,1300000,No,Private,No,5,No,Yes,0
76,29,1200000,No,Private,No,3,No,Yes,1
77,31,400000,No,Government,No,4,No,No,0
78,31,1300000,No,Government,Yes,3,No,Yes,1
79,31,400000,Yes,Government,No,5,No,No,0
80,26,1300000,Yes,Private,No,4,No,Yes,0
81,25,1150000,No,Private,No,8,No,No,0
82,28,1250000,Yes,Private,No,4,No,Yes,0
83,34,950000,No,Private,No,4,Yes,No,1
84,32,350000,Yes,Government,No,6,No,Yes,0
85,25,1700000,No,Private,No,4,Yes,No,1
86,32,900000,No,Government,No,4,No,Yes,0
87,28,300000,No,Government,No,6,No,Yes,0
88,34,1050000,Yes,Private,No,5,No,Yes,0
89,28,300000,No,Government,No,8,No,Yes,0
90,27,1050000,No,Government,No,3,No,Yes,0
91,28,300000,Yes,Government,No,4,No,Yes,0
92,28,1150000,No,Private,No,5,No,Yes,0
93,33,700000,No,Government,No,7,Yes,Yes,1
94,34,1300000,No,Private,No,4,No,Yes,0
95,26,1400000,No,Private,Yes,5,No,Yes,1
96,28,700000,No,Private,No,4,No,Yes,0
97,29,350000,No,Private,No,7,No,Yes,0
98,29,1100000,No,Private,No,6,No,Yes,0
99,29,600000,No,Government,No,3,No,Yes,0
100,28,1300000,Yes,Private,No,6,No,Yes,1
101,33,1500000,Yes,Private,Yes,3,Yes,Yes,1
102,29,500000,Yes,Private,No,3,No,Yes,0
103,26,1400000,No,Private,Yes,5,No,Yes,1
104,28,1150000,No,Private,No,3,No,Yes,0
105,28,750000,No,Private,No,3,No,Yes,0
106,34,1300000,No,Private,No,3,No,Yes,0
107,34,850000,Yes,Private,Yes,3,No,Yes,0
108,26,1300000,No,Private,No,4,No,Yes,1
109,25,1700000,No,Private,No,3,Yes,Yes,1
110,31,400000,No,Government,No,5,No,Yes,0
